"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico. DOI: 10.21766/SSNMX/EC/MX"
"Informacion sujeta a cambios. Archivo generado el 2022-09-26 a las 12:23:30 (tiempo del centro de Mexico)."
"Sismicidad del 1972-01-01 al 2022-09-26, mag. 6.0 a 9.9, todas las profundidades, en todo el pais."
"Total: 184 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
1972-10-20,02:17:46,6.6,18.7,-106.756,10.0,"238 km al OESTE de CIHUATLAN, JAL",1972-10-20,08:17:46,revisado
1972-11-12,22:43:45,6.5,15.541,-95.04,14.0,"73 km al SUR de SALINA CRUZ, OAX",1972-11-13,04:43:45,revisado
1973-01-30,15:01:12,7.6,18.412,-103.019,24.0,"43 km al SURESTE de COALCOMAN, MICH",1973-01-30,21:01:12,revisado
1973-08-28,03:50:41,7.3,18.248,-96.551,82.0,"30 km al SUROESTE de TIERRA BLANCA, VER",1973-08-28,09:50:41,revisado
1974-05-31,08:04:59,6.3,27.23,-111.24,33.0,"83 km al SUROESTE de H GUAYMAS, SON",1974-05-31,14:04:59,revisado
1974-10-24,18:05:34,6.0,15.84,-93.48,100.0,"34 km al NOROESTE de PIJIJIAPAN, CHIS",1974-10-25,00:05:34,revisado
1974-12-31,14:21:09,6.1,14.13,-91.82,39.0,"70 km al SURESTE de CD HIDALGO, CHIS",1974-12-31,20:21:09,revisado
1975-04-23,05:14:48,6.0,16.34,-98.87,11.0,"62 km al SUROESTE de OMETEPEC, GRO",1975-04-23,11:14:48,revisado
1975-07-08,03:37:25,6.5,29.304,-113.468,5.0,"160 km al NORESTE de GUERRERO NEGRO, BCS",1975-07-08,09:37:25,revisado
1976-02-04,03:01:46,7.5,15.262,-89.198,13.0,"319 km al ESTE de FRONTERA COMALAPA, CHIS",1976-02-04,09:01:46,revisado
1976-06-07,08:26:42,6.5,17.406,-100.682,57.0,"21 km al NOROESTE de TECPAN, GRO",1976-06-07,14:26:42,revisado
1978-03-18,19:39:16,6.6,17.036,-99.745,44.0,"24 km al NORESTE de ACAPULCO, GRO",1978-03-19,01:39:16,revisado
1978-05-30,19:07:21,6.5,12.759,-87.287,49.0,"567 km al SURESTE de CD HIDALGO, CHIS",1978-05-31,01:07:21,revisado
1978-11-29,13:52:50,7.6,16.013,-96.586,23.0,"32 km al NOROESTE de S PEDRO POCHUTLA, OAX",1978-11-29,19:52:50,revisado
1979-01-26,04:04:31,6.6,17.397,-100.895,23.0,"34 km al NOROESTE de TECPAN, GRO",1979-01-26,10:04:31,revisado
1979-01-26,11:10:31,6.0,17.0,-101.99,33.0,"85 km al SUROESTE de ZIHUATANEJO, GRO",1979-01-26,17:10:31,revisado
1979-03-14,05:07:15,7.4,17.75,-101.263,25.0,"24 km al NORTE de PETATLAN, GRO",1979-03-14,11:07:15,revisado
1979-03-18,14:12:35,6.0,17.58,-100.83,36.0,"45 km al NOROESTE de TECPAN, GRO",1979-03-18,20:12:35,revisado
1979-06-22,00:30:57,6.9,17.014,-94.605,115.0,"49 km al NORESTE de MATIAS ROMERO, OAX",1979-06-22,06:30:57,revisado
1979-10-01,08:14:16,6.0,15.67,-92.93,100.0,"26 km al NORTE de MAPASTEPEC, CHIS",1979-10-01,14:14:16,revisado
1979-10-15,17:17:00,6.5,32.784,-115.657,14.0,"19 km al NOROESTE de SANTA ISABEL, BC",1979-10-15,23:17:00,revisado
1979-10-27,08:36:00,6.8,13.855,-90.857,64.0,"167 km al SURESTE de CD HIDALGO, CHIS",1979-10-27,14:36:00,revisado
1979-10-27,15:43:26,6.8,13.782,-90.754,65.0,"180 km al SURESTE de CD HIDALGO, CHIS",1979-10-27,21:43:26,revisado
1979-11-25,16:14:54,6.3,13.58,-91.69,33.0,"131 km al SURESTE de CD HIDALGO, CHIS",1979-11-25,22:14:54,revisado
1980-06-08,21:28:18,6.4,32.22,-114.99,5.0,"13 km al SURESTE de GPE VICTORIA(KM.43), BC",1980-06-09,03:28:18,revisado
1980-08-08,23:45:11,6.5,15.879,-88.505,24.0,"291 km al SUR de CHETUMAL, QR",1980-08-09,05:45:11,revisado
1980-10-24,08:53:36,7.1,18.174,-98.222,65.0,"19 km al OESTE de ACATLAN DE OSORIO, PUE",1980-10-24,14:53:36,revisado
1980-11-01,16:52:22,6.1,19.09,-107.33,33.0,"277 km al SUROESTE de PUERTO VALLARTA, JAL",1980-11-01,22:52:22,revisado
1981-06-01,09:12:46,6.0,18.73,-107.03,33.0,"266 km al OESTE de CIHUATLAN, JAL",1981-06-01,15:12:46,revisado
1981-07-25,23:14:21,6.5,17.79,-102.01,21.0,"28 km al SURESTE de CD LAZARO CARDENAS, MICH",1981-07-26,05:14:21,revisado
1981-10-24,21:22:16,7.3,18.088,-102.061,21.0,"18 km al NORESTE de LAS GUACAMAYAS, MICH",1981-10-25,03:22:16,revisado
